Event_id Flavor CC_NC Elst Ant_Res Off_cone Useful_Ch
266 NuE CC 0.1 0 3.5 2
267 NuMu NC 0.9 0 3.5 2
268 NuE CC 0.1 0 4.0 2
269 NuMu NC 0.9 0 4.0 2
270 NuE CC 0.1 -10 0.0 2
271 NuMu NC 0.9 -10 0.0 2
272 NuE CC 0.1 -10 0.5 2
273 NuMu NC 0.9 -10 0.5 2
274 NuE CC 0.1 -10 1.0 2
275 NuMu NC 0.9 -10 1.0 2
276 NuE CC 0.1 -10 1.5 2
277 NuMu NC 0.9 -10 1.5 2
278 NuE CC 0.1 -10 2.0 2
279 NuMu NC 0.9 -10 2.0 2
280 NuE CC 0.1 -10 2.5 2
281 NuMu NC 0.9 -10 2.5 2
282 NuE CC 0.1 -10 3.0 2
283 NuMu NC 0.9 -10 3.0 2
284 NuE CC 0.1 -10 3.5 2
285 NuMu NC 0.9 -10 3.5 2
286 NuE CC 0.1 -10 4.0 2
287 NuMu NC 0.9 -10 4.0 2
288 NuE CC 0.1 -20 0.0 2
289 NuMu NC 0.9 -20 0.0 2
290 NuE CC 0.1 -20 0.5 2
291 NuMu NC 0.9 -20 0.5 2
292 NuE CC 0.1 -20 1.0 2
293 NuMu NC 0.9 -20 1.0 2
294 NuE CC 0.1 -20 1.5 2
295 NuMu NC 0.9 -20 1.5 2
296 NuE CC 0.1 -20 2.0 2
297 NuMu NC 0.9 -20 2.0 2
298 NuE CC 0.1 -20 2.5 2
299 NuMu NC 0.9 -20 2.5 2
300 NuE CC 0.1 -20 3.0 2
301 NuMu NC 0.9 -20 3.0 2
302 NuE CC 0.1 -20 3.5 2
303 NuMu NC 0.9 -20 3.5 2
304 NuE CC 0.1 -20 4.0 2
305 NuMu NC 0.9 -20 4.0 2
306 NuE CC 0.1 -30 0.0 2
307 NuMu NC 0.9 -30 0.0 2
308 NuE CC 0.1 -30 0.5 2
309 NuMu NC 0.9 -30 0.5 2
310 NuE CC 0.1 -30 1.0 2
